ID,REGFALLE,OCUPACION,EDAD,EDADIGNORA,GRUPOSEDAD,SEXO,DEPTOLEV,MPIOLEV,LUGARLEVAN,PROCEMURIO,DIAMES,HORALEVAN,DEPTOOCUHE,MPIOOCUHE,PROCEOCUHE,LUGARAGRES,FECHAAGRE,TIPOVIOCOM,TIPOARMA,TIPOVIOINT,PRACAUT
14,21244,OFICIOS DOMESTICOS,50,,50-54,F,CUSCATLAN,SAN PEDRO PERU,CALLE,R,23/01/2021,2245,CUSCATLAN,SAN PEDRO PERULAPAN,R,CALLE,23/01/2018,MARAS,ARMA DE FUEGO,,SI
15,21246,ORDENANZA P.N.C.,50,,50-54,M,CUSCATLAN,SAN PEDRO PERU,QUEBRADA,R,28/01/2021,1810,CUSCATLAN,SAN PEDRO PERULAPAN,R,QUEBRADA,22/01/2018,MARAS,NO DATOS,,NO
16,21243,DESCONOCIDO,45,,45-49,M,CUSCATLAN,SAN PEDRO PERU,CALLE,R,20/01/2021,2030,CUSCATLAN,SAN PEDRO PERULAPAN,R,CALLE,20/01/2018,MARAS,ARMA DE FUEGO,,SI
17,21248,MARA SALVATRUCHA,24,,20-24,M,CUSCATLAN,SAN RAMON,VIA PUBLICA,R,28/01/2021,2225,CUSCATLAN,SAN RAMON,R,VIA PUBLICA,28/01/2018,MARAS,ARMA DE FUEGO,,SI
18,21247,DESCONOCIDO,33,,30-34,M,CUSCATLAN,SAN RAMON,VIA PUBLICA,R,28/01/2021,2249,CUSCATLAN,SAN RAMON,R,VIA PUBLICA,28/01/2018,MARAS,ARMA DE FUEGO,,SI
19,12480,MARA 18,24,,20-24,M,LA LIBERTAD,ZARAGOZA,CALLE,U,01/02/2021,2200,LA LIBERTAD,ZARAGOZA,U,CALLE,01/02/2018,MARAS,ARMA DE FUEGO,,SI
20,12481,VIGILANTE,49,,45-49,M,LA LIBERTAD,ZARAGOZA,CALLE,R,01/03/2021,1125,LA LIBERTAD,ZARAGOZA,R,CALLE,01/03/2017,MARAS,ARMA DE FUEGO,,SI
21,19602,DESCONOCIDO,24,,20-24,M,LA LIBERTAD,COLON,VIA PUBLICA,U,01/04/2021,1030,LA LIBERTAD,COLON,U,VIA PUBLICA,01/04/2018,MARAS,OBJETO CONTUNDENTE,,SI
22,19603,MARA SALVATRUCHA,21,,20-24,M,LA LIBERTAD,CIUDAD ARCE,CALLE,R,01/05/2021,755,LA LIBERTAD,CIUDAD ARCE,R,CALLE,01/05/2018,ENFRENT C\AUTORIDAD,ARMA DE FUEGO,,SI
23,12482,DESCONOCIDO,16,,15-19,M,LA LIBERTAD,SANTA TECLA,OTRO HOSP NACIONAL,U,01/04/2021,2240,LA LIBERTAD,COLON,R,CASA CONOCIDA,01/04/2018,POR AMIGO,ARMA DE FUEGO,,SI
24,12479,OFICIOS DOMESTICOS,60,,60-64,F,LA LIBERTAD,HUIZUCAR,CASA CONOCIDA,R,01/01/2021,445,LA LIBERTAD,HUIZUCAR,R,CASA CONOCIDA,31/12/2017,MARAS,ARMA DE FUEGO,,NO
25,20201,DESCONOCIDO,20,,20-24,M,LA LIBERTAD,LA LIBERTAD,CALLE,R,01/02/2021,300,LA LIBERTAD,LA LIBERTAD,R,CALLE,01/01/2018,NO SE SABE,ARMA DE FUEGO,,SI
26,20202,DESCONOCIDO,19,,15-19,M,LA LIBERTAD,LA LIBERTAD,CALLE,R,01/02/2021,330,LA LIBERTAD,LA LIBERTAD,R,CALLE,01/01/2018,NO SE SABE,ARMA DE FUEGO,,SI
27,19800,EMPLEADO,32,,30-34,M,LA LIBERTAD,ANTIGUO CUSCAT,CALLE,U,01/02/2021,545,LA LIBERTAD,ANTIGUO CUSCATLAN,U,CALLE,01/02/2018,DELINCUENCIA COMUN,ASF X ESTRANGULACION,,SI
28,20203,DESCONOCIDO,17,,15-19,F,LA LIBERTAD,LA LIBERTAD,HACIENDA,R,01/08/2021,200,LA LIBERTAD,LA LIBERTAD,R,HACIENDA,01/08/2018,NO SE SABE,ARMA DE FUEGO,,SI
29,19604,DESCONOCIDO,15,,15-19,M,LA LIBERTAD,COLON,CASA PROPIA,R,01/08/2021,2355,LA LIBERTAD,COLON,R,CASA PROPIA,01/08/2018,MARAS,ARMA DE FUEGO,,SI
30,19605,DESCONOCIDO,18,,15-19,M,LA LIBERTAD,COLON,U DE S MSPAS,U,01/09/2021,105,LA LIBERTAD,COLON,R,CASA PROPIA,01/08/2018,MARAS,ARMA DE FUEGO,,SI
31,20204,PROSTITUTA,18,,15-19,F,LA LIBERTAD,JICALAPA,RANCHO,R,01/09/2021,510,LA LIBERTAD,JICALAPA,R,RANCHO,01/09/2018,NO SE SABE,NO DATOS,,SI
32,20206,DESCONOCIDO,21,,20-24,M,LA LIBERTAD,TAMANIQUE,CASA CONOCIDA,R,01/12/2021,915,LA LIBERTAD,TAMANIQUE,R,CASA CONOCIDA,01/12/2018,POR CONOCIDO,ASFIXIA X AHORCADURA,,SI
33,19606,JORNALERO,42,,40-44,M,LA LIBERTAD,COLON,VIA PUBLICA,U,13/01/2021,2145,LA LIBERTAD,COLON,U,VIA PUBLICA,13/01/2018,MARAS,ARMA DE FUEGO,,SI
34,17793,MARA SALVATRUCHA,18,,15-19,M,LA LIBERTAD,COLON,U DE S MSPAS,U,16/01/2021,1400,LA LIBERTAD,TALNIQUE,R,CALLE,16/01/2018,ENFRENT C\AUTORIDAD,ARMA DE FUEGO,,NO
35,19608,DESCONOCIDO,16,,15-19,M,LA LIBERTAD,COLON,CALLE,R,18/01/2021,315,LA LIBERTAD,COLON,U,CALLE,18/01/2018,NO SE SABE,CORTOCONTUNDENTE,,NO
36,20205,MARA SALVATRUCHA,40,,40-44,M,LA LIBERTAD,SAN JOSE VILLA,CALLE,R,19/01/2021,2005,LA LIBERTAD,SAN JOSE VILLANUEVA,R,CALLE,19/01/2018,NO SE SABE,CORTOCONTUNDENTE,,NO
37,12485,COMERCIANTE,61,,60-64,M,LA LIBERTAD,SANTA TECLA,OTRO HOSP NACIONAL,U,19/01/2021,1730,LA LIBERTAD,ANTIGUO CUSCATLAN,U,VIA PUBLICA,19/01/2018,DELINCUENCIA COMUN,CORTOPUNZANTE,,SI
38,12486,JORNALERO,45,,45-49,M,LA LIBERTAD,COMASAGUA,CALLE,R,22/01/2021,1130,LA LIBERTAD,COMASAGUA,R,CALLE,21/01/2018,MARAS,ASF X ESTRANGULACION,,SI
39,12489,MARA SALVATRUCHA,20,,20-24,M,LA LIBERTAD,COMASAGUA,QUEBRADA,R,23/01/2021,1530,LA LIBERTAD,COMASAGUA,R,QUEBRADA,21/01/2018,NO SE SABE,ASF X ESTRANGULACION,,SI
40,12490,MARA SALVATRUCHA,19,,15-19,M,LA LIBERTAD,COMASAGUA,QUEBRADA,R,23/01/2021,1515,LA LIBERTAD,COMASAGUA,R,QUEBRADA,21/01/2018,NO SE SABE,ASF X ESTRANGULACION,,NO
41,12487,MARA SALVATRUCHA,22,,20-24,M,LA LIBERTAD,SAN JOSE VILLA,CALLE,R,22/01/2021,1710,LA LIBERTAD,SAN JOSE VILLANUEVA,R,CALLE,19/01/2018,NO SE SABE,CORTOCONTUNDENTE,,SI
42,19610,JORNALERO,63,,60-64,M,LA LIBERTAD,CIUDAD ARCE,TERRENO,R,24/01/2021,1540,LA LIBERTAD,CIUDAD ARCE,R,TERRENO,24/01/2018,MARAS,ARMA DE FUEGO,,NO
43,12488,JORNALERO,39,,35-39,M,LA LIBERTAD,SANTA TECLA,OTRO HOSP NACIONAL,U,23/01/2021,540,SAN SALVADOR,SAN SALVADOR,R,VIA PUBLICA,22/01/2018,NO SE SABE,ARMA DE FUEGO,,SI
44,20176,MARA SALVATRUCHA,40,,40-44,M,LA LIBERTAD,LA LIBERTAD,VIA PUBLICA,R,28/01/2021,2220,LA LIBERTAD,LA LIBERTAD,R,CARRETERA,28/01/2018,NO SE SABE,ARMA DE FUEGO,,NO
45,12520,MARA SALVATRUCHA,21,,20-24,M,LA LIBERTAD,SANTA TECLA,OTRO HOSP NACIONAL,U,28/01/2021,115,LA LIBERTAD,CIUDAD ARCE,U,VIA PUBLICA,24/01/2018,MARAS,ARMA DE FUEGO,,NO
46,17794,MOTORISTA,43,,40-44,M,LA LIBERTAD,QUEZALTEPEQUE,CARRETERA,R,31/01/2021,725,LA LIBERTAD,QUEZALTEPEQUE,R,CARRETERA,30/01/2018,MARAS,CORTOCONTUNDENTE,,SI
47,21785,ALBA¥IL,44,,40-44,M,LA PAZ,ZACATECOLUCA,OTRO HOSP NACIONAL,U,01/01/2021,2134,LA PAZ,S LUIS LA HERRADURA,R,PREDIO BALDIO,01/01/2018,DELINCUENCIA COMUN,OBJETO CONTUNDENTE,,SI
48,21791,MARA SALVATRUCHA,16,,15-19,M,LA PAZ,SANTIAGO NONUA,PASAJE DE COLONIA,R,01/04/2021,2200,LA PAZ,SANTIAGO NONUALCO,R,PASAJE DE COLONIA,01/04/2018,MARAS,ARMA DE FUEGO,,SI
49,21792,DESCONOCIDO,,SI,IGNORADO,I,LA PAZ,SANTIAGO NONUA,CA¥AL,R,01/05/2021,1440,LA PAZ,SANTIAGO NONUALCO,R,CA¥AL,31/10/2017,NO SE SABE,NO DATOS,,NO
50,21790,MARA SALVATRUCHA,31,,30-34,M,LA PAZ,SAN PEDRO MASA,CASA PROPIA,R,01/03/2021,2345,LA PAZ,SAN PEDRO MASAHUAT,R,CASA PROPIA,01/03/2018,MARAS,ARMA DE FUEGO,,SI
51,21796,COMERCIANTE,24,,20-24,M,LA PAZ,ZACATECOLUCA,TALLER,R,01/11/2021,1830,LA PAZ,ZACATECOLUCA,R,TALLER,01/11/2018,MARAS,ARMA DE FUEGO,,SI
52,21799,DESCONOCIDO,18,,15-19,M,LA PAZ,OLOCUILTA,CARRETERA,R,18/01/2021,1230,LA PAZ,OLOCUILTA,R,CARRETERA,18/01/2018,NO SE SABE,ASF X ESTRANGULACION,,SI
53,21802,MARA 18,20,,20-24,M,LA PAZ,ROSARIO DE LA,PUPUSERIA,R,24/01/2021,140,LA PAZ,ROSARIO DE LA PAZ,R,PUPUSERIA,23/01/2018,ENFRENT C\AUTORIDAD,ARMA DE FUEGO,,SI
54,21806,DESCONOCIDO,23,,20-24,F,LA PAZ,ROSARIO DE LA,HACIENDA,R,27/01/2021,2320,LA PAZ,ROSARIO DE LA PAZ,R,HACIENDA,27/01/2018,MARAS,ARMA DE FUEGO,,SI
55,21805,MARA SALVATRUCHA,38,,35-39,M,LA PAZ,OLOCUILTA,CALLE,R,27/01/2021,1010,LA PAZ,OLOCUILTA,R,CALLE,27/01/2018,NO SE SABE,ARMA DE FUEGO,,NO
56,21530,DESCONOCIDO,15,,15-19,M,SAN SALVADOR,SAN SALVADOR,HOSP.NAC.ROSALES,U,01/03/2021,2230,SAN SALVADOR,SAN SALVADOR,U,CASA PROPIA,01/03/2018,MARAS,ARMA DE FUEGO,,SI
57,21880,MARA 18,22,,20-24,M,SAN SALVADOR,AGUILARES,PREDIO BALDIO,R,01/05/2021,1135,SAN SALVADOR,AGUILARES,R,PREDIO BALDIO,01/05/2018,ENFRENT C\AUTORIDAD,ARMA DE FUEGO,,SI
58,21879,MARA 18,22,,20-24,M,SAN SALVADOR,AGUILARES,PREDIO BALDIO,R,01/05/2021,1105,SAN SALVADOR,AGUILARES,R,PREDIO BALDIO,01/05/2018,ENFRENT C\AUTORIDAD,ARMA DE FUEGO,,SI
59,19611,MARA SALVATRUCHA,26,,25-29,M,LA LIBERTAD,CIUDAD ARCE,VIA PUBLICA,R,30/01/2021,2100,LA LIBERTAD,CIUDAD ARCE,R,VIA PUBLICA,30/01/2018,MARAS,ARMA DE FUEGO,,NO
60,11004,DESCONOCIDO,30,,30-34,M,LA LIBERTAD,SANTA TECLA,FINCA,U,30/01/2021,1400,LA LIBERTAD,SANTA TECLA,U,FINCA,30/01/2018,NO SE SABE,CORTOCONTUNDENTE,,NO
61,21794,DESCONOCIDO,,SI,IGNORADO,I,LA PAZ,SAN LUIS TALPA,PREDIO BALDIO,R,01/11/2021,1210,LA PAZ,SAN LUIS TALPA,R,PREDIO BALDIO,,DELINCUENCIA COMUN,NO DATOS,,NO
62,21795,MECANICO,23,,20-24,M,LA PAZ,ZACATECOLUCA,TALLER,R,01/11/2021,1740,LA PAZ,ZACATECOLUCA,R,TALLER,01/11/2018,MARAS,ARMA DE FUEGO,,SI
63,21797,MARA SALVATRUCHA,21,,20-24,M,LA PAZ,SAN LUIS TALPA,CALLE,R,01/12/2021,1135,LA PAZ,SAN LUIS TALPA,R,CALLE,01/12/2018,MARAS,CORTOCONTUNDENTE,,SI
64,21793,AGRICULTOR,20,,20-24,M,LA PAZ,SAN PEDRO MASA,HACIENDA,R,01/10/2021,2200,LA PAZ,SAN PEDRO MASAHUAT,R,HACIENDA,01/10/2018,DELINCUENCIA COMUN,ARMA DE FUEGO,,SI
65,21798,OFICIOS DOMESTICOS,25,,25-29,F,LA PAZ,SAN LUIS TALPA,HACIENDA,R,15/01/2021,150,LA PAZ,SAN LUIS TALPA,R,HACIENDA,14/01/2018,NO SE SABE,CORTOPUNZANTE,,SI
66,21801,EMPLEADO,37,,35-39,M,LA PAZ,SAN LUIS TALPA,CASA PROPIA,R,21/01/2021,2335,LA PAZ,SAN LUIS TALPA,R,CASA PROPIA,21/01/2018,NO SE SABE,ARMA DE FUEGO,,SI
67,21800,DESCONOCIDO,18,,15-19,M,LA PAZ,CUYULTITAN,CARRETERA,R,21/01/2021,115,LA PAZ,CUYULTITAN,R,CARRETERA,20/01/2018,MARAS,ARMA DE FUEGO,,NO
68,21803,MARA SALVATRUCHA,17,,15-19,F,LA PAZ,ROSARIO DE LA,PASAJE DE BARRIO,R,25/01/2021,10,LA PAZ,ROSARIO DE LA PAZ,R,PASAJE DE BARRIO,24/01/2018,MARAS,ARMA DE FUEGO,,SI
69,21804,MARA 18,17,,15-19,M,LA PAZ,ZACATECOLUCA,QUEBRADA,R,25/01/2021,1800,LA PAZ,ZACATECOLUCA,R,QUEBRADA,25/01/2018,ENFRENT C\AUTORIDAD,ARMA DE FUEGO,,SI
70,21513,DESCONOCIDO,31,,30-34,M,SAN SALVADOR,SOYAPANGO,OTRO VEHICULO,U,01/01/2021,1330,SAN SALVADOR,SOYAPANGO,U,OTRO VEHICULO,01/01/2018,NO SE SABE,ARMA DE FUEGO,,SI
71,21878,MARA 18,26,,25-29,M,SAN SALVADOR,AGUILARES,PREDIO BALDIO,R,01/05/2021,1040,SAN SALVADOR,AGUILARES,R,PREDIO BALDIO,01/05/2018,ENFRENT C\AUTORIDAD,ARMA DE FUEGO,,SI
72,18616,DESCONOCIDO,36,,35-39,M,SAN SALVADOR,AYUTUXTEPEQUE,VIA PUBLICA,R,01/06/2021,1435,SAN SALVADOR,AYUTUXTEPEQUE,R,VIA PUBLICA,01/06/2018,MARAS,ARMA DE FUEGO,,SI
73,21882,DESCONOCIDO,27,,25-29,M,SAN SALVADOR,NEJAPA,HACIENDA,R,01/07/2021,2140,SAN SALVADOR,NEJAPA,R,HACIENDA,01/07/2018,NO SE SABE,ARMA DE FUEGO,,SI
74,21518,MARA SALVATRUCHA,24,,20-24,M,SAN SALVADOR,ILOPANGO,HOSP.NAC.SAN.BARTOLO,U,01/09/2021,1000,SAN SALVADOR,SOYAPANGO,U,VIA PUBLICA,01/08/2018,DELINCUENCIA COMUN,ARMA DE FUEGO,,SI
75,20139,TAXISTA,24,,20-24,M,SAN SALVADOR,SAN SALVADOR,VIA PUBLICA,U,01/09/2021,30,SAN SALVADOR,SAN SALVADOR,U,VIA PUBLICA,01/08/2018,DELINCUENCIA COMUN,ARMA DE FUEGO,,SI
76,20127,VENDEDOR,24,,20-24,F,SAN SALVADOR,SAN SALVADOR,PASAJE DE COLONIA,U,01/10/2021,920,SAN SALVADOR,SAN SALVADOR,U,PASAJE DE COLONIA,01/09/2018,MARAS,CORTANTE,,SI
77,21541,CARPINTERO,23,,20-24,M,SAN SALVADOR,SAN SALVADOR,HOSP.NAC.ROSALES,U,01/10/2021,2040,SAN SALVADOR,SAN SALVADOR,U,VIA PUBLICA,01/10/2018,MARAS,ARMA DE FUEGO,,SI
78,17541,DESCONOCIDO,45,,45-49,M,SAN SALVADOR,CUSCATANCINGO,CASA PROPIA,U,01/10/2021,1535,SAN SALVADOR,CUSCATANCINGO,U,CASA PROPIA,01/10/2018,MARAS,ARMA DE FUEGO,,SI
79,17537,SASTRE,41,,40-44,M,SAN SALVADOR,AYUTUXTEPEQUE,VIA PUBLICA,R,01/06/2021,2310,SAN SALVADOR,AYUTUXTEPEQUE,R,VIA PUBLICA,01/06/2018,VENGANZA,ARMA DE FUEGO,,SI
80,21529,DESCONOCIDO,21,,20-24,M,SAN SALVADOR,SAN SALVADOR,VIA PUBLICA,U,01/01/2021,615,SAN SALVADOR,SAN SALVADOR,U,VIA PUBLICA,01/01/2018,NO SE SABE,ARMA DE FUEGO,,SI
81,17538,EMPLEADO,38,,35-39,M,SAN SALVADOR,MEJICANOS,PASAJE DE COLONIA,U,01/06/2021,2345,SAN SALVADOR,MEJICANOS,U,PASAJE DE COLONIA,01/06/2018,MARAS,ARMA DE FUEGO,,SI
82,17540,DESCONOCIDO,43,,40-44,M,SAN SALVADOR,AYUTUXTEPEQUE,CASA PROPIA,R,01/02/2021,2230,SAN SALVADOR,AYUTUXTEPEQUE,R,CASA PROPIA,01/02/2018,MARAS,ARMA DE FUEGO,,SI
83,21057,DESCONOCIDO,18,,15-19,M,SAN SALVADOR,SANTO TOMAS,VIA PUBLICA,U,01/05/2021,2200,SAN SALVADOR,SANTO TOMAS,R,VIA PUBLICA,01/05/2018,MARAS,ARMA DE FUEGO,,SI
84,21517,MARA SALVATRUCHA,33,,30-34,M,SAN SALVADOR,ILOPANGO,CASA PROPIA,R,01/08/2021,2230,SAN SALVADOR,ILOPANGO,R,CASA PROPIA,01/08/2018,MARAS,ARMA DE FUEGO,,SI
85,21526,DESCONOCIDO,23,,20-24,M,SAN SALVADOR,SAN SALVADOR,HOSP.NAC.ROSALES,U,01/07/2021,150,SAN SALVADOR,SAN SALVADOR,U,VIA PUBLICA,01/06/2018,NO SE SABE,ARMA DE FUEGO,,SI
86,21888,MOTORISTA DE MB,22,,20-24,M,SAN SALVADOR,APOPA,MB TTE COLECTIVO,U,14/01/2021,1530,SAN SALVADOR,APOPA,U,MB TTE COLECTIVO,14/01/2018,DELINCUENCIA COMUN,ARMA DE FUEGO,,NO
87,21172,DESCONOCIDO,53,,50-54,M,SAN SALVADOR,SAN SALVADOR,HOSP.NAC.ROSALES,U,01/11/2021,1030,LA PAZ,SAN PEDRO MASAHUAT,R,CALLE,01/06/2018,NO SE SABE,OBJETO CONTUNDENTE,,SI
88,17524,DESCONOCIDO,16,,15-19,M,SAN SALVADOR,CIUDAD DELGADO,VIA PUBLICA,U,01/12/2021,2145,SAN SALVADOR,CIUDAD DELGADO,U,VIA PUBLICA,01/12/2018,MARAS,ARMA DE FUEGO,,SI
89,21889,DESCONOCIDO,31,,30-34,M,SAN SALVADOR,GUAZAPA,CALLE,R,16/01/2021,2100,SAN SALVADOR,GUAZAPA,R,CALLE,16/01/2018,MARAS,ARMA DE FUEGO,,NO
90,21542,DESCONOCIDO,25,,25-29,M,SAN SALVADOR,SAN SALVADOR,VIA PUBLICA,U,01/10/2021,2240,SAN SALVADOR,SAN SALVADOR,U,VIA PUBLICA,01/10/2018,MARAS,ARMA DE FUEGO,,SI
91,21511,AGRICULTOR,25,,25-29,M,SAN SALVADOR,TONACATEPEQUE,VIA PUBLICA,U,01/01/2021,850,SAN SALVADOR,TONACATEPEQUE,U,VIA PUBLICA,01/01/2018,NO SE SABE,ARMA DE FUEGO,,SI
92,20129,DESCONOCIDO,30,,30-34,M,SAN SALVADOR,SAN SALVADOR,SEDE DEL I.M.L.,U,01/10/2021,2000,SAN SALVADOR,SAN SALVADOR,U,VIA PUBLICA,01/10/2018,MARAS,ARMA DE FUEGO,,SI
93,20130,DESCONOCIDO,46,,45-49,M,SAN SALVADOR,SAN SALVADOR,HOSP.NAC.ROSALES,U,01/09/2021,2310,CUSCATLAN,COJUTEPEQUE,R,VIA PUBLICA,01/07/2018,NO SE SABE,OBJETO CONTUNDENTE,,SI
94,21516,COMERCIANTE,20,,20-24,M,SAN SALVADOR,ILOPANGO,OTRO NEGOCIO,U,01/05/2021,1225,SAN SALVADOR,ILOPANGO,U,OTRO NEGOCIO,01/05/2018,MARAS,ARMA DE FUEGO,,SI
95,21514,MARA 18,23,,20-24,M,SAN SALVADOR,SAN MARTIN,TERRENO,R,01/02/2021,1630,SAN SALVADOR,SAN MARTIN,R,TERRENO,01/02/2018,MARAS,ARMA DE FUEGO,,SI
96,21515,MARA 18,24,,20-24,M,SAN SALVADOR,SAN MARTIN,TERRENO,R,01/02/2021,1650,SAN SALVADOR,SAN MARTIN,R,TERRENO,01/02/2018,MARAS,ARMA DE FUEGO,,SI
97,20138,AGRICULTOR,44,,40-44,M,SAN SALVADOR,SAN SALVADOR,FINCA,R,01/05/2021,1230,SAN SALVADOR,SAN SALVADOR,R,FINCA,01/05/2018,NO SE SABE,BLANCA SIN ESPEC.,,SI
98,21173,MARA SALVATRUCHA,39,,35-39,M,SAN SALVADOR,SAN SALVADOR,HOSP.NAC.ROSALES,U,14/01/2021,2130,SONSONATE,IZALCO,U,CTRO PENAL,01/11/2018,MARAS,OBJETO CONTUNDENTE,,SI
99,21519,EMPLEADO,32,,30-34,M,SAN SALVADOR,ILOPANGO,VIA PUBLICA,U,01/12/2021,1440,SAN SALVADOR,ILOPANGO,U,VIA PUBLICA,01/12/2018,MARAS,ARMA DE FUEGO,,SI
100,16749,EMPLEADO,23,,20-24,M,SAN SALVADOR,AYUTUXTEPEQUE,FINCA,R,01/11/2021,1315,SAN SALVADOR,AYUTUXTEPEQUE,R,FINCA,01/10/2018,NO SE SABE,ARMA DE FUEGO,,SI
101,21532,COMERCIANTE,23,,20-24,M,SAN SALVADOR,SOYAPANGO,HOSP.NAC.SOYAPANGO,U,01/01/2021,1800,SAN SALVADOR,SAN SALVADOR,U,CASA PROPIA,01/01/2018,DELINCUENCIA COMUN,ARMA DE FUEGO,,SI
102,17270,MARA SALVATRUCHA,18,,15-19,M,SAN SALVADOR,AYUTUXTEPEQUE,TERRENO,R,01/07/2021,2200,SAN SALVADOR,AYUTUXTEPEQUE,R,TERRENO,01/07/2018,MARAS,ARMA DE FUEGO,,SI
103,21884,MARA 18,17,,15-19,M,SAN SALVADOR,APOPA,CASA PROPIA,U,13/01/2021,1535,SAN SALVADOR,APOPA,U,CASA PROPIA,13/01/2018,MARAS,ARMA DE FUEGO,,SI
104,21524,AGRICULTOR,26,,25-29,M,SAN SALVADOR,SOYAPANGO,VIA PUBLICA,U,17/01/2021,1830,SAN SALVADOR,SOYAPANGO,U,VIA PUBLICA,17/01/2018,MARAS,ASF X ESTRANGULACION,,SI
105,21523,MARA SALVATRUCHA,27,,25-29,M,SAN SALVADOR,SOYAPANGO,VIA PUBLICA,U,17/01/2021,730,SAN SALVADOR,SOYAPANGO,U,VIA PUBLICA,17/01/2018,MARAS,ARMA DE FUEGO,,NO
106,21883,COMERCIANTE,26,,25-29,M,SAN SALVADOR,SAN SALVADOR,HOSP.NAC.ROSALES,U,13/01/2021,230,SAN SALVADOR,AGUILARES,U,VIA PUBLICA,01/07/2018,MARAS,ARMA DE FUEGO,,SI
107,19181,EMPLEADO,54,,50-54,M,SAN SALVADOR,CIUDAD DELGADO,CALLE,R,15/01/2021,800,SAN SALVADOR,CIUDAD DELGADO,R,CALLE,15/01/2018,MARAS,ARMA DE FUEGO,,NO
108,21520,EMPLEADO,60,,60-64,M,SAN SALVADOR,ILOPANGO,VIA PUBLICA,U,13/01/2021,945,SAN SALVADOR,ILOPANGO,U,VIA PUBLICA,13/01/2018,NO SE SABE,ARMA DE FUEGO,,SI
109,21885,MARA 18,23,,20-24,M,SAN SALVADOR,APOPA,VIA PUBLICA,U,14/01/2021,10,SAN SALVADOR,APOPA,U,VIA PUBLICA,13/01/2018,ENFRENT C\AUTORIDAD,ARMA DE FUEGO,,SI
